i: 1, j: 2, kIndex: 7, s: -3.00, tVec[2]: 0.00, c: 0.00, r: 0.00, matrixXY[7]: 0.00
i: 1, j: 3, kIndex: 8, s: -3.00, tVec[3]: -0.33, c: 0.00, r: 0.00, matrixXY[8]: 1.00
i: 1, j: 4, kIndex: 9, s: -3.00, tVec[4]: 0.00, c: 0.00, r: 0.00, matrixXY[9]: 0.00
i: 1, j: 5, kIndex: 10, s: -3.00, tVec[5]: 0.00, c: 0.00, r: 0.00, matrixXY[10]: 0.00
i: 1, j: 2, kIndex: 7, s: 1.20, tVec[2]: 0.00, c: 0.20, r: 0.00, matrixXY[7]: 0.00
i: 1, j: 3, kIndex: 8, s: 1.20, tVec[3]: -0.33, c: 0.20, r: 1.00, matrixXY[8]: -0.20
i: 1, j: 4, kIndex: 9, s: 1.20, tVec[4]: 0.00, c: 0.20, r: 0.00, matrixXY[9]: 0.00
i: 1, j: 5, kIndex: 10, s: 1.20, tVec[5]: 0.00, c: 0.20, r: 0.00, matrixXY[10]: 0.00
i: 3, j: 4, kIndex: 16, s: -1.00, tVec[4]: 0.00, c: 0.00, r: 0.00, matrixXY[16]: 0.00
i: 3, j: 5, kIndex: 17, s: -1.00, tVec[5]: 0.00, c: 0.00, r: 0.00, matrixXY[17]: 0.00
i: 1, j: 2, kIndex: 7, s: -0.50, tVec[2]: 0.00, c: 0.83, r: 0.00, matrixXY[7]: 0.00
i: 1, j: 3, kIndex: 8, s: -0.50, tVec[3]: 0.67, c: 0.83, r: -0.20, matrixXY[8]: -0.50
i: 1, j: 4, kIndex: 9, s: -0.50, tVec[4]: 0.00, c: 0.83, r: 0.00, matrixXY[9]: 0.00
i: 1, j: 5, kIndex: 10, s: -0.50, tVec[5]: 0.00, c: 0.83, r: 0.00, matrixXY[10]: 0.00
i: 3, j: 4, kIndex: 16, s: 1.00, tVec[4]: 0.00, c: 0.40, r: 0.00, matrixXY[16]: 0.00
i: 3, j: 5, kIndex: 17, s: 1.00, tVec[5]: 0.00, c: 0.40, r: 0.00, matrixXY[17]: 0.00
i: 0, j: 1, kIndex: 1, s: -3.00, tVec[1]: 0.00, c: 0.00, r: 0.00, matrixXY[1]: 0.00
i: 0, j: 2, kIndex: 2, s: -3.00, tVec[2]: -0.33, c: 0.00, r: 0.00, matrixXY[2]: 1.00
i: 0, j: 3, kIndex: 3, s: -3.00, tVec[3]: 0.00, c: 0.00, r: 0.00, matrixXY[3]: 0.00
i: 0, j: 4, kIndex: 4, s: -3.00, tVec[4]: 0.00, c: 0.00, r: 0.00, matrixXY[4]: 0.00
i: 0, j: 5, kIndex: 5, s: -3.00, tVec[5]: 0.67, c: 0.00, r: 0.00, matrixXY[5]: -2.00
i: 0, j: 1, kIndex: 1, s: -1.50, tVec[1]: 0.00, c: 0.50, r: 0.00, matrixXY[1]: 0.00
i: 0, j: 2, kIndex: 2, s: -1.50, tVec[2]: 0.67, c: 0.50, r: 1.00, matrixXY[2]: -0.50
i: 0, j: 3, kIndex: 3, s: -1.50, tVec[3]: 0.00, c: 0.50, r: 0.00, matrixXY[3]: 0.00
i: 0, j: 4, kIndex: 4, s: -1.50, tVec[4]: 0.00, c: 0.50, r: 0.00, matrixXY[4]: 0.00
